년도,월,교통,도로,청소,주택건축,치수방재,가로정비,보건,공원녹지,환경,경제/산업,소방안전,기타 불편사항,총합계
2012,8 ,46 ,57 ,15 ,3 ,7 ,11 ,0 ,10 ,6 ,0 ,0 ,16 ,230 
2012,9 ,83 ,105 ,17 ,2 ,11 ,50 ,4 ,46 ,7 ,0 ,0 ,49 ,427 
2012,10 ,87 ,86 ,8 ,8 ,9 ,83 ,0 ,22 ,4 ,0 ,0 ,33 ,396 
2012,11 ,99 ,60 ,22 ,5 ,2 ,69 ,1 ,3 ,2 ,0 ,1 ,28 ,342 
2012,12 ,149 ,34 ,9 ,2 ,0 ,34 ,2 ,4 ,1 ,0 ,0 ,24 ,315 
2013,1 ,195 ,238 ,29 ,7 ,19 ,53 ,0 ,6 ,6 ,0 ,0 ,30 ,682 
2013,2 ,251 ,619 ,22 ,9 ,22 ,59 ,3 ,15 ,4 ,0 ,0 ,66 ,"1,168 "
2013,3 ,389 ,710 ,35 ,15 ,56 ,72 ,3 ,51 ,15 ,0 ,0 ,98 ,"1,539 "
2013,4 ,579 ,"1,066 ",62 ,6 ,30 ,97 ,1 ,42 ,13 ,0 ,0 ,97 ,"2,246 "
2013,5 ,713 ,"1,214 ",67 ,13 ,56 ,151 ,0 ,64 ,21 ,0 ,1 ,103 ,"2,491 "
2013,6 ,"1,025 ","1,734 ",122 ,19 ,99 ,655 ,15 ,115 ,22 ,0 ,3 ,183 ,"4,164 "
2013,7 ,"1,234 ","1,318 ",165 ,25 ,102 ,516 ,20 ,121 ,50 ,0 ,0 ,191 ,"4,009 "
2013,8 ,"1,242 ","1,123 ",227 ,36 ,85 ,516 ,11 ,76 ,30 ,0 ,0 ,165 ,"3,790 "
2013,9 ,"1,047 ","2,076 ",130 ,20 ,48 ,702 ,9 ,44 ,26 ,0 ,0 ,139 ,"4,569 "
2013,10 ,"1,382 ",708 ,145 ,16 ,39 ,902 ,8 ,70 ,34 ,1 ,0 ,158 ,"3,850 "
2013,11 ,"1,196 ",447 ,88 ,9 ,20 ,475 ,8 ,35 ,20 ,0 ,0 ,99 ,"2,754 "
2013,12 ,"1,326 ",187 ,66 ,9 ,9 ,306 ,4 ,14 ,6 ,0 ,1 ,138 ,"2,338 "
2014,1 ,"1,152 ",428 ,153 ,11 ,14 ,442 ,2 ,30 ,17 ,0 ,0 ,151 ,"2,665 "
2014,2 ,"1,389 ","1,009 ",138 ,18 ,63 ,724 ,7 ,83 ,19 ,0 ,2 ,214 ,"3,930 "
2014,3 ,"1,524 ","1,056 ",338 ,29 ,101 ,"1,234 ",13 ,125 ,34 ,0 ,6 ,290 ,"5,280 "
2014,4 ,"1,556 ","1,274 ",719 ,36 ,156 ,"2,148 ",20 ,182 ,28 ,0 ,2 ,287 ,"7,132 "
2014,5 ,"2,146 ","1,184 ",602 ,62 ,122 ,"2,260 ",32 ,160 ,50 ,0 ,4 ,361 ,"7,715 "
2014,6 ,"1,980 ","1,166 ",617 ,43 ,215 ,"3,783 ",36 ,182 ,61 ,0 ,5 ,428 ,"9,223 "
2014,7 ,"2,365 ","1,223 ",728 ,34 ,309 ,"4,771 ",40 ,176 ,86 ,0 ,3 ,399 ,"10,875 "
2014,8 ,"3,919 ","1,163 ",844 ,79 ,510 ,"4,023 ",70 ,188 ,230 ,0 ,2 ,475 ,"12,574 "
2014,9 ,"5,146 ","1,027 ",780 ,86 ,165 ,"5,361 ",128 ,146 ,248 ,0 ,2 ,562 ,"14,674 "
2014,10 ,"6,605 ","1,248 ",863 ,73 ,385 ,"7,116 ",105 ,197 ,223 ,0 ,1 ,552 ,"18,084 "
2014,11 ,"5,769 ",799 ,421 ,87 ,66 ,"4,225 ",32 ,91 ,137 ,0 ,2 ,415 ,"12,557 "
2014,12 ,"5,517 ",510 ,278 ,46 ,28 ,"1,121 ",23 ,56 ,101 ,0 ,2 ,382 ,"8,601 "
2015,1 ,"5,734 ",439 ,336 ,49 ,36 ,"1,280 ",22 ,51 ,135 ,0 ,3 ,437 ,"9,038 "
2015,2 ,"5,495 ",673 ,485 ,64 ,53 ,"1,599 ",17 ,75 ,126 ,0 ,2 ,523 ,"9,378 "
2015,3 ,"6,755 ","1,476 ","1,204 ",174 ,212 ,"4,260 ",25 ,223 ,211 ,0 ,11 ,948 ,"16,076 "
2015,4 ,"7,256 ","1,524 ","1,962 ",98 ,313 ,"5,824 ",42 ,238 ,217 ,0 ,2 ,"1,306 ","19,275 "
2015,5 ,"7,675 ","1,660 ","2,001 ",146 ,395 ,"6,190 ",195 ,226 ,343 ,0 ,3 ,"1,293 ","20,644 "
2015,6 ,"7,286 ","2,168 ","2,749 ",185 ,380 ,"8,910 ",258 ,322 ,544 ,0 ,7 ,"1,503 ","25,156 "
2015,7 ,"7,911 ","2,094 ","4,595 ",178 ,405 ,"10,396 ",242 ,313 ,686 ,0 ,5 ,"1,597 ","29,140 "
2015,8 ,"8,669 ","1,815 ","4,448 ",274 ,429 ,"9,564 ",189 ,336 ,669 ,0 ,5 ,"1,544 ","28,585 "
2015,9 ,"8,555 ","2,483 ","3,734 ",318 ,720 ,"12,906 ",273 ,427 ,641 ,0 ,4 ,"1,602 ","33,108 "
2015,10 ,"9,188 ",946 ,"1,858 ",202 ,227 ,"5,962 ",110 ,193 ,424 ,1 ,5 ,"1,462 ","21,228 "
2015,11 ,"9,549 ",807 ,"1,666 ",174 ,131 ,"4,146 ",66 ,116 ,307 ,1 ,7 ,"1,349 ","18,947 "
2015,12 ,"10,301 ",479 ,"1,376 ",218 ,79 ,"2,537 ",34 ,53 ,325 ,1 ,3 ,"1,240 ","17,304 "
2016,1 ,"9,882 ",477 ,"1,600 ",205 ,78 ,"4,537 ",32 ,57 ,295 ,1 ,0 ,"1,378 ","19,435 "
2016,2 ,"9,605 ",870 ,"2,808 ",201 ,102 ,"4,922 ",42 ,140 ,195 ,0 ,6 ,"1,399 ","20,946 "
2016,3 ,"12,890 ","1,390 ","4,029 ",302 ,290 ,"10,761 ",47 ,261 ,426 ,0 ,1 ,"2,410 ","33,909 "
2016,4 ,"12,791 ","1,339 ","3,719 ",322 ,365 ,"7,580 ",109 ,265 ,441 ,0 ,3 ,"2,844 ","31,344 "
2016,5 ,"14,964 ","1,652 ","3,829 ",311 ,304 ,"6,686 ",300 ,350 ,670 ,0 ,8 ,"2,930 ","33,296 "
2016,6 ,"15,813 ","1,598 ","3,269 ",461 ,304 ,"8,001 ",378 ,300 ,"1,218 ",0 ,6 ,"3,720 ","36,261 "
2016,7 ,"17,810 ","1,093 ","3,635 ",388 ,420 ,"7,082 ",299 ,276 ,"1,035 ",1 ,4 ,"3,719 ","36,972 "
2016,8 ,"16,608 ","1,094 ","4,793 ",336 ,281 ,"7,457 ",203 ,320 ,"1,066 ",0 ,2 ,"3,112 ","36,759 "
2016,9 ,"15,881 ",803 ,"2,416 ",286 ,196 ,"8,494 ",264 ,270 ,"1,140 ",0 ,6 ,"3,493 ","36,937 "
2016,10 ,"16,255 ",734 ,"2,913 ",274 ,156 ,"4,496 ",225 ,368 ,"1,153 ",0 ,4 ,"3,631 ","31,532 "
2016,11 ,"15,013 ",515 ,"3,686 ",222 ,83 ,"3,637 ",101 ,105 ,641 ,2 ,8 ,"2,559 ","28,765 "
2016,12 ,"15,241 ",470 ,"2,166 ",203 ,81 ,"2,635 ",75 ,96 ,509 ,0 ,1 ,"2,766 ","26,088 "
2017,1 ,"13,919 ",678 ,"1,762 ",140 ,67 ,"3,051 ",66 ,138 ,377 ,0 ,1 ,"2,669 ","24,156 "
2017,2 ,"14,433 ",936 ,"2,539 ",173 ,120 ,"3,345 ",59 ,235 ,522 ,0 ,3 ,"2,288 ","25,918 "
2017,3 ,"18,095 ","1,029 ","3,609 ",264 ,207 ,"5,651 ",66 ,211 ,705 ,0 ,4 ,"3,474 ","34,757 "
2017,4 ,"18,918 ","1,085 ","3,802 ",326 ,218 ,"9,806 ",120 ,324 ,783 ,0 ,1 ,"3,783 ","40,515 "
2017,5 ,"21,110 ",895 ,"3,469 ",354 ,216 ,"4,189 ",217 ,334 ,"1,189 ",1 ,8 ,"4,492 ","38,139 "
2017,6 ,"21,200 ",962 ,"3,957 ",414 ,326 ,"4,965 ",414 ,378 ,"1,522 ",1 ,4 ,"4,763 ","40,464 "
2017,7 ,"23,552 ","1,318 ","3,231 ",392 ,268 ,"5,289 ",258 ,327 ,"1,161 ",3 ,5 ,"5,893 ","43,389 "
2017,8 ,"23,699 ","1,370 ","5,259 ",365 ,450 ,"9,169 ",344 ,462 ,"1,500 ",0 ,16 ,"6,184 ","50,680 "
2017,9 ,"24,970 ","1,663 ","8,515 ",416 ,445 ,"6,873 ",455 ,524 ,"1,816 ",0 ,11 ,"7,191 ","54,754 "
2017,10 ,"21,294 ",856 ,"3,658 ",324 ,127 ,"4,272 ",258 ,275 ,"1,044 ",1 ,1 ,"4,864 ","38,336 "
2017,11 ,"22,569 ",759 ,"4,076 ",398 ,108 ,"6,201 ",128 ,152 ,961 ,0 ,2 ,"4,461 ","40,897 "
2017,12 ,"23,529 ",949 ,"2,219 ",310 ,73 ,"2,576 ",86 ,101 ,746 ,0 ,6 ,"3,548 ","34,994 "
2018,1 ,"23,941 ",702 ,"2,039 ",338 ,71 ,"2,791 ",69 ,70 ,829 ,1 ,3 ,"3,450 ","35,065 "
2018,2 ,"21,212 ",626 ,"2,791 ",355 ,103 ,"3,576 ",66 ,91 ,865 ,0 ,12 ,"3,442 ","33,841 "
2018,3 ,"27,307 ","1,126 ","3,944 ",703 ,128 ,"3,886 ",80 ,208 ,"2,294 ",0 ,7 ,"5,202 ","45,878 "
2018,4 ,"28,060 ","1,055 ","4,731 ",999 ,158 ,"4,265 ",126 ,207 ,"2,644 ",1 ,5 ,"5,545 ","48,985 "
2018,5 ,"30,922 ","1,307 ","4,882 ","1,636 ",222 ,"5,025 ",220 ,290 ,"3,659 ",0 ,4 ,"6,055 ","55,495 "
2018,6 ,"31,152 ",916 ,"4,105 ","1,957 ",226 ,"4,580 ",354 ,276 ,"8,225 ",0 ,8 ,"5,972 ","59,193 "
2018,7 ,"30,566 ",980 ,"4,217 ","2,464 ",176 ,"10,196 ",234 ,273 ,"9,985 ",0 ,11 ,"5,760 ","66,472 "
2018,8 ,"30,640 ","1,051 ","3,813 ","1,363 ",142 ,"4,162 ",183 ,237 ,"6,285 ",1 ,12 ,"4,953 ","54,798 "
2018,9 ,"30,882 ","1,026 ","3,484 ","1,012 ",154 ,"5,992 ",301 ,298 ,"5,125 ",0 ,5 ,"5,493 ","55,417 "
2018,10 ,"33,010 ",775 ,"3,115 ",759 ,127 ,"4,281 ",176 ,241 ,"4,496 ",1 ,15 ,"5,479 ","54,119 "
2018,11 ,"32,700 ",852 ,"3,559 ",965 ,154 ,"4,511 ",97 ,160 ,"6,539 ",0 ,8 ,"5,461 ","56,750 "
2018,12 ,"29,143 ",657 ,"2,223 ",563 ,71 ,"2,692 ",83 ,97 ,"2,711 ",0 ,10 ,"4,283 ","44,713 "
2019,1 ,"29,727 ","1,212 ","2,598 ",402 ,116 ,"3,797 ",98 ,151 ,"1,563 ",1 ,5 ,"4,928 ","46,237 "
2019,2 ,"27,573 ","1,435 ","3,082 ",266 ,232 ,"4,530 ",83 ,259 ,576 ,0 ,7 ,"2,945 ","42,614 "
2019,3 ,"33,122 ","1,923 ","3,047 ",539 ,337 ,"5,232 ",126 ,438 ,"1,107 ",6 ,8 ,"2,492 ","50,476 "
2019,4 ,"37,028 ","2,350 ","3,585 ",664 ,349 ,"6,355 ",219 ,545 ,"1,934 ",0 ,16 ,"2,759 ","57,918 "
2019,5 ,"41,039 ","2,000 ","4,389 ",602 ,325 ,"6,563 ",488 ,693 ,"1,637 ",1 ,16 ,"3,640 ","63,565 "
2019,6 ,"41,234 ","1,662 ","4,625 ",571 ,364 ,"5,936 ",528 ,624 ,"2,794 ",0 ,14 ,"3,311 ","63,922 "
