위반쓰레기,위반장소,위반일시
담배꽁초,대치동 선릉로424,2022-01-03 10:11
담배꽁초,대치동 테헤란로424,2022-01-03 10:34
담배꽁초,대치동 선릉로90길36,2022-01-03 10:40
담배꽁초,대치동 선릉로90길40,2022-01-03 10:50
담배꽁초,대치동 선릉로90길36,2022-01-03 11:08
담배꽁초,대치동 선릉로90길64,2022-01-03 11:33
담배꽁초,대치동 테헤란로510,2022-01-03 13:15
담배꽁초,논현동 39-1,2022-01-03 09:00
담배꽁초,논현동 학동로4길20,2022-01-03 10:29
담배꽁초,논현동 학동로4길16,2022-01-03 09:33
담배꽁초,논현동 학동로4길15,2022-01-03 09:39
담배꽁초,논현동 학동로4길15,2022-01-03 09:47
담배꽁초,논현동 학동로4길15,2022-01-03 10:06
담배꽁초,논현동 학동로4길15,2022-01-03 10:23
담배꽁초,논현동 학동로4길15,2022-01-03 10:29
담배꽁초,역삼동 효성해링턴타워,2022-01-03 11:00
담배꽁초,역삼동 패스트파이브,2022-01-03 11:00
담배꽁초,역삼동 패스트파이브,2022-01-03 11:20
담배꽁초,역삼동 역삼타워,2022-01-03 11:20
담배꽁초,강남역 11번출구,2022-01-03 11:50
담배꽁초,강남역 11번출구,2022-01-03 12:10
담배꽁초,강남역 11번출구,2022-01-03 13:40
담배꽁초,강남역 11번출구,2022-01-03 13:50
담배꽁초,강남역 11번출구,2022-01-03 13:50
담배꽁초,강남역 11번출구,2022-01-03 13:55
담배꽁초,역삼동 패스트파이브,2022-01-03 11:22
담배꽁초,강남역 1번출구,2022-01-03 11:30
담배꽁초,강남역 1번출구,2022-01-03 11:42
담배꽁초,역삼동 강남대로406,2022-01-03 13:25
담배꽁초,대치동 테헤란로412,2022-01-03 10:50
담배꽁초,대치동 다봉타워,2022-01-03 10:58
담배꽁초,대치동 891-37,2022-01-03 11:24
담배꽁초,강남역 11번출구,2022-01-03 10:48
담배꽁초,강남역 11번출구,2022-01-03 11:05
담배꽁초,강남역 11번출구,2022-01-03 11:14
담배꽁초,강남역 11번출구,2022-01-03 11:34
담배꽁초,강남역 11번출구,2022-01-03 11:43
담배꽁초,강남역 11번출구,2022-01-03 13:45
담배꽁초,강남역 11번출구,2022-01-03 13:52
담배꽁초,강남역 11번출구,2022-01-03 13:57
담배꽁초,강남역 11번출구,2022-01-03 10:41
담배꽁초,역삼동 강남대로406,2022-01-03 10:50
담배꽁초,강남역 11번출구,2022-01-03 11:00
담배꽁초,역삼동 강남대로406,2022-01-03 11:04
담배꽁초,역삼동 강남대로406,2022-01-03 11:04
담배꽁초,역삼동 강남대로406,2022-01-03 13:38
담배꽁초,역삼동 강남대로406,2022-01-03 13:25
담배꽁초,대치동 891-40,2022-01-03 11:29
담배꽁초,대치동 테헤란로510,2022-01-03 13:12
담배꽁초,대치동 889-51,2022-01-03 10:26
담배꽁초,대치동 테헤란로412,2022-01-03 10:32
담배꽁초,대치동 테헤란로412,2022-01-03 10:41
담배꽁초,대치동 테헤란로510,2022-01-03 14:03
담배꽁초,삼성동 테헤란로79길6,2022-01-03 10:30
담배꽁초,삼성동 테헤란로79길6,2022-01-03 10:50
담배꽁초,삼성동 골든타워,2022-01-03 11:50
담배꽁초,삼성동 고반식당,2022-01-03 12:10
담배꽁초,삼성동 테헤란로87길17,2022-01-03 12:30
담배꽁초,논현동 201-1,2022-01-03 11:50
담배꽁초,논현동 201-1,2022-01-03 11:00
담배꽁초,논현동 163-1,2022-01-03 10:10
담배꽁초,논현동 123-11,2022-01-03 09:55
담배꽁초,논현동 126-6,2022-01-03 09:45
담배꽁초,논현동 86-2,2022-01-03 09:20
담배꽁초,논현동 201-1,2022-01-03 11:20
담배꽁초,삼성동 제이에스타워,2022-01-03 10:32
담배꽁초,삼성동 제이에스타워,2022-01-03 10:53
담배꽁초,삼성동 제이에스타워,2022-01-03 11:00
담배꽁초,삼성동 삼성로91길36,2022-01-03 11:16
담배꽁초,삼성동 테헤란로425,2022-01-03 11:30
담배꽁초,삼성동 제이에스타워,2022-01-03 11:41
담배꽁초,삼성동 고반식당,2022-01-03 12:07
담배꽁초,삼성동 고반식당,2022-01-03 12:10
담배꽁초,대치동 테헤란로510,2022-01-04 10:42
담배꽁초,대치동 테헤란로510,2022-01-04 10:46
담배꽁초,대치동 테헤란로510,2022-01-04 10:58
담배꽁초,대치동 테헤란로510,2022-01-04 11:01
담배꽁초,대치동 테헤란로92길12-9,2022-01-04 13:00
담배꽁초,대치동 테헤란로88길10,2022-01-04 13:40
담배꽁초,대치동 테헤란로514,2022-01-04 13:55
담배꽁초,논현동 학동로4길15,2022-01-04 09:26
담배꽁초,논현동 학동로4길15,2022-01-04 09:34
담배꽁초,논현동 학동로4길18,2022-01-04 09:43
담배꽁초,논현동 학동로4길20,2022-01-04 09:51
담배꽁초,논현동 학동로4길15,2022-01-04 10:09
담배꽁초,논현동 강남대로128길26,2022-01-04 10:10
담배꽁초,논현동 학동로4길18,2022-01-04 10:19
담배꽁초,논현동 학동로4길15,2022-01-04 10:35
담배꽁초,논현동 학동로4길15,2022-01-04 10:50
담배꽁초,역삼동 역삼타워,2022-01-04 10:50
담배꽁초,역삼동 강남대로408,2022-01-04 11:10
담배꽁초,역삼동 강남대로408,2022-01-04 12:10
담배꽁초,역삼동 강남대로408,2022-01-04 12:00
담배꽁초,역삼동 강남대로408,2022-01-04 12:10
담배꽁초,역삼동 강남대로408,2022-01-04 13:20
